Motor_Current_A,Oil_Temperature_C,Line_Pressure_bar,Filter_DeltaP_bar,Vibration_RMS_mm_s,Running_Hours,Status,Label,Reason
60.76,88.72,2.84,0.103,2.97,1741.9,Warning,1,Motor current in warning range (60-70A)
69.62,88.31,3.02,0.363,7.29,181.1,Critical,2,Bearing/Alignment issue (High current + High vibration)
75.62,75.6,1.93,0.396,4.67,1494.6,Critical,2,Air leak/Airend wear (High current + Low pressure)
55.57,85.13,2.79,0.253,5.46,2227.2,Warning,1,Multiple parameters in warning range
60.11,61.16,3.14,0.125,1.82,1450.5,Normal,0,None
56.14,66.81,3.05,0.221,4.13,2131.6,Warning,1,Service interval warning (2000-3000 hrs)
70.1,62.58,3.16,0.081,0.95,1741.5,Warning,1,Motor current in warning range (60-70A)
58.37,67.7,3.07,0.066,2.97,261.7,Normal,0,None
36.62,84.52,3.37,0.071,2.51,1413.6,Warning,1,Line pressure high warning (3.2-3.6 bar)
45.7,86.78,2.88,0.03,1.07,114.2,Normal,0,None
36.52,75.56,2.84,0.001,7.17,1930.2,Warning,1,Vibration in warning range (4-7 mm/s)
57.02,84.98,2.85,0.324,3.63,2173.4,Warning,1,Multiple parameters in warning range
49.34,86.19,3.2,0.149,2.05,1235.7,Normal,0,None
60.34,97.96,2.61,0.318,6.04,1548.2,Warning,1,Multiple parameters in warning range
45.14,82.85,3.15,0.095,1.29,1335.2,Normal,0,None
44.12,59.18,2.89,0.067,1.45,1390.9,Normal,0,None
62.76,61.87,2.99,0.157,2.34,927,Warning,1,Motor current in warning range (60-70A)
44.48,76.77,3.45,0.154,3.25,1436.2,Warning,1,Line pressure high warning (3.2-3.6 bar)
26.62,86.93,2.94,0.244,2.04,513.6,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
49.28,68.28,2.94,0.018,0.76,1362.2,Normal,0,None
44.92,67.27,2.79,0.102,3.23,1100.5,Warning,1,Line pressure low warning (2.4-2.8 bar)
33,65.12,3.03,0.075,3.45,1800,Normal,0,None
53.2,73.02,3.08,0.233,2.48,903.5,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
55.29,97.75,3.16,0.279,3.86,1890.9,Warning,1,Multiple parameters in warning range
44.55,93.92,3.18,0.694,4.46,3208.2,Critical,2,Service critical (>3000 hrs) - Service required
32.43,95.56,2.8,0.231,0.35,1600.7,Warning,1,Oil temperature in warning range (90-105°C)
73.5,75.01,2.82,0.334,7.01,1985.5,Critical,2,Motor current critical (>70A)
66.79,90.31,2.73,0.279,7.35,1351.1,Critical,2,Bearing/Alignment issue (High current + High vibration)
71.97,102.49,2.95,0.55,6.97,2781,Critical,2,Filter choking (High temperature + High ΔP)
29.32,84,3.49,0.123,0.2,606.3,Warning,1,Line pressure high warning (3.2-3.6 bar)
38.94,73.32,2.66,0.1,3.7,993.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
52.81,69.17,2.83,0.332,0.74,1389.9,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
29.64,84.55,3.15,0.094,2.36,1529.6,Normal,0,None
25.81,64.12,3.15,0.101,3.85,865,Normal,0,None
66.3,67.97,3.05,0.127,0.55,122.7,Warning,1,Motor current in warning range (60-70A)
49.07,62.82,2.97,0.274,4.54,2615.2,Warning,1,Service interval warning (2000-3000 hrs)
1.58,87.36,2.44,0.032,1.42,1242.4,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
49.28,69.67,1.82,0.122,6.73,2404.6,Critical,2,Line pressure critically low (<2.4 bar)
4.46,87.04,2.07,0.13,0.75,974,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
56.12,89.34,3.11,0.085,2.69,875.2,Normal,0,None
65.12,102.22,3.18,0.305,3.16,2018.4,Warning,1,Multiple parameters in warning range
27.59,91.38,3.17,0.25,1.47,593.1,Warning,1,Oil temperature in warning range (90-105°C)
31.59,62.2,2.64,0.168,1.03,41.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
64.1,99.85,3.16,0.283,3.15,2468.5,Warning,1,Multiple parameters in warning range
44.86,80.48,3.17,0.12,0.49,676.5,Normal,0,None
55.9,79.21,2.92,0.442,3.61,1693,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
54.67,81.2,3.1,0.403,0.83,1090.1,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
57.99,85.15,3.1,0.267,7.96,1695.1,Critical,2,Vibration critical (>7 mm/s)
57.3,93.38,2.5,0.218,5.35,2491.8,Warning,1,Multiple parameters in warning range
64.44,87.98,2.87,0.345,4.7,1505.2,Warning,1,Multiple parameters in warning range
37.31,64.07,3.33,0.185,3.84,736.6,Warning,1,Line pressure high warning (3.2-3.6 bar)
64.55,84.51,3.17,0.233,5.4,1593,Warning,1,Multiple parameters in warning range
45.69,76.29,3.01,0.121,2.69,1610,Normal,0,None
52.24,80.51,3.08,0.103,1.75,294.9,Normal,0,None
46.55,82.65,2.79,0.177,2.53,842.5,Warning,1,Line pressure low warning (2.4-2.8 bar)
45.56,77.77,2.84,0.176,2.99,2026.2,Warning,1,Service interval warning (2000-3000 hrs)
33.49,70.02,3.55,0.186,0.91,1605.3,Warning,1,Line pressure high warning (3.2-3.6 bar)
51.56,64.67,3.04,0.018,2.92,1313.9,Normal,0,None
56.71,66.74,2.46,0.161,1.87,1553.4,Warning,1,Line pressure low warning (2.4-2.8 bar)
25.62,98.39,3.17,0.242,3.62,104.5,Warning,1,Oil temperature in warning range (90-105°C)
34.54,84.63,3.7,0.497,4.16,1048.5,Critical,2,Line pressure critically high (>3.6 bar)
55.14,80.61,2.77,0.246,3.72,2081.7,Warning,1,Service interval warning (2000-3000 hrs)
41.09,73.73,3.05,0.101,4.14,1025,Warning,1,Vibration in warning range (4-7 mm/s)
51.01,75.29,2.85,0.472,3.51,1741.2,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
65.44,73.5,2.86,0.125,3.48,760.8,Warning,1,Motor current in warning range (60-70A)
53.47,71.24,3.19,0.103,0.59,1391.8,Normal,0,None
34.22,101.64,3.73,0.081,2.98,1845.9,Critical,2,Line pressure critically high (>3.6 bar)
56.08,73.4,2.87,0.206,2.2,1054.8,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
58.47,102.05,3.28,0.279,5.26,1814.4,Warning,1,Multiple parameters in warning range
36.72,64.82,3.07,0.181,0.37,479.7,Normal,0,None
47.34,78.95,2.52,0.18,1.84,1958.2,Warning,1,Line pressure low warning (2.4-2.8 bar)
57.72,102.24,2.77,0.349,3.77,2142.9,Warning,1,Multiple parameters in warning range
55.82,92.19,3.16,0.382,5.68,2266.1,Warning,1,Multiple parameters in warning range
29.83,72.88,2.98,0.176,2.21,760.8,Normal,0,None
34.33,86.84,2.91,0.19,6.3,1609.8,Warning,1,Vibration in warning range (4-7 mm/s)
30.26,69.83,2.49,0.65,2.28,1795.1,Critical,2,Filter choked (ΔP >0.5 bar)
56.27,66.72,2.81,0.15,4.48,2034.7,Warning,1,Service interval warning (2000-3000 hrs)
56.01,77.66,3.03,0.085,1.36,869.2,Normal,0,None
46.13,78.1,3.08,0.139,0.96,1024.7,Normal,0,None
51.3,74.58,3.05,0.01,0.95,723.7,Normal,0,None
59.04,68.48,2.99,0.032,2.48,561.4,Normal,0,None
63.36,90.55,3.42,0.26,3.26,2117.1,Warning,1,Multiple parameters in warning range
46.31,90.02,3.5,0.545,1.77,1183.7,Critical,2,Filter choked (ΔP >0.5 bar)
62.52,104.59,2.31,0,4.37,153.4,Critical,2,Line pressure critically low (<2.4 bar)
45.42,75.96,1.88,0.214,5.15,213,Critical,2,Line pressure critically low (<2.4 bar)
46.48,59.69,3.06,0.271,3.85,2873.7,Warning,1,Service interval warning (2000-3000 hrs)
25.49,71.63,2.94,0.089,2.41,87.5,Normal,0,None
49.45,74.29,3.06,0.058,1.25,1578,Normal,0,None
57.6,74.06,3.31,0.112,1.37,1202.1,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.05,69.81,2.86,0.088,3.86,2636.9,Warning,1,Service interval warning (2000-3000 hrs)
66.37,78.6,2.94,0.043,4.01,908,Warning,1,Motor current in warning range (60-70A)
38.45,60.91,2.84,0.083,4.45,46.7,Warning,1,Vibration in warning range (4-7 mm/s)
56.69,104.57,2.78,0.361,4.69,2326.7,Warning,1,Multiple parameters in warning range
44.45,75.46,3.09,0.165,1.71,604.7,Normal,0,None
35.5,88.07,2.97,0.067,2.43,278.4,Normal,0,None
47.7,66.29,2.97,0.119,3.44,2543,Warning,1,Service interval warning (2000-3000 hrs)
31.07,95.54,2.65,0.397,7.65,2631.3,Critical,2,Vibration critical (>7 mm/s)
35.63,67.15,3.11,0.077,2.07,984.7,Normal,0,None
53.87,84.07,3.04,0.162,0.87,218.5,Normal,0,None
25.77,73.33,2.65,0.138,2.86,268.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
34.84,103.6,2.5,0.703,6.79,4656.9,Critical,2,Service critical (>3000 hrs) - Service required
48.43,82.82,3.12,0.116,0.34,975.3,Normal,0,None
70.8,65.21,3.31,0.466,0.57,2865.3,Critical,2,Motor current critical (>70A)
27.23,63.02,2.96,0.056,0.73,562,Normal,0,None
31.4,79.4,2.83,0.133,1.45,1295.6,Warning,1,Line pressure low warning (2.4-2.8 bar)
33.22,81.81,3.12,0.161,2.03,1040.3,Normal,0,None
67.84,66.01,2.23,0.029,5.32,952.8,Critical,2,Air leak/Airend wear (High current + Low pressure)
35.64,63.32,2.95,0.063,6.51,626.7,Warning,1,Vibration in warning range (4-7 mm/s)
38.92,105.39,2.86,0.265,1.98,775.3,Warning,1,Oil temperature in warning range (90-105°C)
35.53,63.16,3.12,0.114,0,720.1,Normal,0,None
58.3,92.67,2.88,0.152,5.41,1916.5,Warning,1,Multiple parameters in warning range
32.51,99.3,3.07,0.182,0.71,1303.3,Warning,1,Oil temperature in warning range (90-105°C)
65.72,87.98,3.41,0.217,4.08,1558.1,Warning,1,Multiple parameters in warning range
64.43,72.15,3.02,0.107,0.15,928.2,Warning,1,Motor current in warning range (60-70A)
64.04,109.46,3.01,0.482,0.89,50.8,Critical,2,Oil temperature critical (>105°C)
37.96,71.33,2.81,0.158,4.09,2974.2,Warning,1,Service interval warning (2000-3000 hrs)
38.84,70.75,2.83,0.048,0.86,968.2,Normal,0,None
31.55,64.72,2.67,0.172,2.21,293.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
33.94,70.51,3.15,0.079,1.72,1780.3,Normal,0,None
42.61,78.18,2.86,0.041,3.2,919.3,Normal,0,None
0,85.77,3.02,0.224,3.43,725.9,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
59.01,66.13,3.12,0.175,3.82,1920.3,Normal,0,None
62.9,99.72,2.74,0.31,4.87,1662.7,Warning,1,Multiple parameters in warning range
36.56,87.54,3.09,0.015,1.65,58.3,Normal,0,None
45.6,100.78,3.76,0.033,5.26,1115.2,Critical,2,Line pressure critically high (>3.6 bar)
45.14,70.77,3.04,0.044,4.64,1836.5,Warning,1,Vibration in warning range (4-7 mm/s)
57.82,76.12,2.97,0.125,2.05,1517.6,Normal,0,None
50.63,99.44,3.1,0.56,2.36,2565.1,Critical,2,Filter choking (High temperature + High ΔP)
35.74,81.13,3.1,0.23,2.49,2875.9,Warning,1,Service interval warning (2000-3000 hrs)
24.76,95.16,2.99,0.165,3.78,452.3,Warning,1,Oil temperature in warning range (90-105°C)
50.73,85.91,2.98,0.058,4.92,1425.2,Warning,1,Vibration in warning range (4-7 mm/s)
46.38,80.25,2.86,0.115,2.69,334.6,Normal,0,None
35.68,81.25,3.11,0.129,3.51,2508.9,Warning,1,Service interval warning (2000-3000 hrs)
58.13,80.28,3.07,0.177,4.9,1614.1,Warning,1,Vibration in warning range (4-7 mm/s)
66.25,97.09,3.44,0.273,3.99,1663,Warning,1,Multiple parameters in warning range
49.49,85.21,3.03,0.198,0.15,1009.6,Normal,0,None
65.87,71.5,2.87,0.179,0.7,619.6,Warning,1,Motor current in warning range (60-70A)
52.9,106.55,3.41,0.493,4.58,155.5,Critical,2,Filter choking (High temperature + High ΔP)
46.48,93.3,3.07,0.223,0.26,1567.5,Warning,1,Oil temperature in warning range (90-105°C)
57.78,78.84,3.47,0.117,0.7,836.7,Warning,1,Line pressure high warning (3.2-3.6 bar)
40.01,88.49,2.84,0.114,0.53,1941.4,Normal,0,None
38.45,68.14,2.88,0.089,1.09,574.9,Normal,0,None
27,89.37,2.94,0.007,2.48,1247.3,Normal,0,None
36.72,68.68,3.05,0.464,3.65,211.8,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
49.83,80.34,2.99,0,2.39,506.2,Normal,0,None
58.69,62.93,2.82,0.082,0.21,1496.8,Normal,0,None
50.07,60.54,3.04,0.12,2.47,484,Normal,0,None
34.13,66.85,3.23,0.097,2.98,1213.5,Warning,1,Line pressure high warning (3.2-3.6 bar)
57.26,76.37,2.89,0.121,3.08,1475.8,Normal,0,None
35.59,94.19,3.17,0.244,3.32,908.7,Warning,1,Oil temperature in warning range (90-105°C)
40.3,79.43,3.18,0,3.3,584.8,Normal,0,None
57.1,62.88,3.1,0.19,4,2260.2,Warning,1,Service interval warning (2000-3000 hrs)
54.97,81.8,2.82,0.045,1.29,499.9,Normal,0,None
36.05,103.48,3.16,0.201,1.72,1011.3,Warning,1,Oil temperature in warning range (90-105°C)
32.81,101.75,3.08,0.266,3.49,1496.7,Warning,1,Oil temperature in warning range (90-105°C)
32.58,62.28,2.87,0,2.75,1464.8,Normal,0,None
55.89,88.88,3.04,0.323,3.58,1557.7,Warning,1,Multiple parameters in warning range
42.99,81.22,2.7,0.024,2.01,823.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
46.63,63.28,2.94,0.228,2.74,412.5,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
67.9,62.35,3.02,0.116,2.55,1377.3,Warning,1,Motor current in warning range (60-70A)
68.03,74.49,2.96,0.154,1.8,366.9,Warning,1,Motor current in warning range (60-70A)
28.04,98.87,2.89,0.675,6.73,199.7,Critical,2,Filter choked (ΔP >0.5 bar)
39.86,89.73,3.01,0.042,0.97,701,Normal,0,None
67.73,60.85,2.9,0.125,1.94,10.6,Warning,1,Motor current in warning range (60-70A)
63.53,85.41,3.78,0.383,5.58,1554,Critical,2,Line pressure critically high (>3.6 bar)
55.92,82.69,3.18,0.141,5.83,1308.3,Warning,1,Vibration in warning range (4-7 mm/s)
41.4,80.09,2.91,0.049,1.16,483,Normal,0,None
54.52,79.96,3.13,0.043,2.68,528.1,Normal,0,None
31.96,81.46,2.87,0.125,1.08,1323.9,Normal,0,None
37.62,73.32,2.78,0.053,4.07,1758.4,Warning,1,Vibration in warning range (4-7 mm/s)
36.47,87.25,3.16,0.05,3.68,1992.3,Normal,0,None
55.34,89.89,2.89,0.011,1.79,260.2,Normal,0,None
36.14,80.72,2.93,0.113,4.32,2623.7,Warning,1,Service interval warning (2000-3000 hrs)
45.86,90.22,3.07,0.092,2.62,778.5,Normal,0,None
32.11,89.99,3.23,0.125,3.11,1430.2,Normal,0,None
58.7,64.28,2.59,0.15,2.96,1297.3,Warning,1,Line pressure low warning (2.4-2.8 bar)
32.05,82.01,2.99,0.138,3.35,339.5,Normal,0,None
42.38,73.81,3.29,0.11,1.09,1842.6,Warning,1,Line pressure high warning (3.2-3.6 bar)
25.55,73.32,2.85,0.113,3.61,1765.8,Normal,0,None
59.59,60.38,3.16,0.222,4.85,2465,Warning,1,Service interval warning (2000-3000 hrs)
27.36,66.08,2.89,0.099,1.16,202,Normal,0,None
40.99,102.54,2.74,0.545,1.74,1066,Critical,2,Filter choking (High temperature + High ΔP)
30.43,68.49,3.14,0.034,0.35,969.1,Normal,0,None
31.39,79.64,2.5,0.096,0.27,919.2,Warning,1,Line pressure low warning (2.4-2.8 bar)
48.12,106.7,3.07,0.342,5.43,2586.6,Critical,2,Oil temperature critical (>105°C)
50.25,73.07,2.57,0.183,1.42,1719.6,Warning,1,Line pressure low warning (2.4-2.8 bar)
30.52,92.79,3.19,0.161,2.42,1158.6,Warning,1,Oil temperature in warning range (90-105°C)
29.36,76.58,2.89,0.045,0.9,365.7,Normal,0,None
37.84,84.42,2.92,0.124,3.71,2845.1,Warning,1,Service interval warning (2000-3000 hrs)
33.58,67.26,3.21,0.153,3.11,1254.7,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.55,94.54,3.38,0.139,3.81,1707.5,Warning,1,Multiple parameters in warning range
49.59,103.91,3.1,0.801,5.17,1193.6,Critical,2,Filter choking (High temperature + High ΔP)
45.49,89.04,3,0.103,0.2,69.8,Normal,0,None
33.1,61.07,3.07,0.018,2.56,562.1,Normal,0,None
51.19,64.43,2.71,0.06,2.64,1131.6,Warning,1,Line pressure low warning (2.4-2.8 bar)
37.45,62.48,3.6,0.142,3.69,531,Warning,1,Line pressure high warning (3.2-3.6 bar)
58.59,88.02,3.08,0.053,0.96,1926.7,Normal,0,None
59.95,102.02,3.41,0.197,3.82,2428.6,Warning,1,Multiple parameters in warning range
33.16,75.88,3.08,0.423,3.13,1155.8,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
33.95,66.07,2.86,0.05,1.75,1661.9,Normal,0,None
62.85,91.1,3.12,0.25,3.55,1616.6,Warning,1,Multiple parameters in warning range
53.83,76.88,3.06,0.458,1.84,653.6,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
61.22,89.2,2.87,0.014,2.41,1477.7,Warning,1,Motor current in warning range (60-70A)
58.82,101.86,3.3,0.392,3.97,2469.7,Warning,1,Multiple parameters in warning range
32.88,79.74,2.88,0.359,1.38,1647.1,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
32.84,63.74,2.98,0.092,3.48,442.5,Normal,0,None
40.81,69.13,2.72,0.017,3.78,1367.7,Warning,1,Line pressure low warning (2.4-2.8 bar)
58.5,99.04,3.09,0.154,1.69,232.7,Warning,1,Oil temperature in warning range (90-105°C)
59.63,95.3,2.9,0.351,5.62,2111.8,Warning,1,Multiple parameters in warning range
47.61,62.01,2.95,0.021,4.5,1654.6,Warning,1,Vibration in warning range (4-7 mm/s)
42.7,82.64,3.16,0.061,3.56,1868.6,Normal,0,None
59.69,105.49,3.23,0.728,0.91,2498.8,Critical,2,Filter choking (High temperature + High ΔP)
56.12,68.29,3.14,0.349,1.97,616.9,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
72.35,97.89,3.47,0.193,9.39,797.8,Critical,2,Bearing/Alignment issue (High current + High vibration)
57.27,65.15,3.04,0.032,1.27,1092.9,Normal,0,None
